"","batch","start_time","SDH2O_out","H2O_out","SD_18O_out","d18O_out","SD_2H_out","d2H_out","Flask","SWISS","test"
"1",4,2021-10-28 14:25:07,60.51,694.64,3.39,-24.3,15.65,-141.5,2,"Fondue","Fondue 43 Day"
"2",12,2021-10-28 14:35:38,6.95,1050.77,4.83,-39.5,9.84,-149.4,3,"Fondue","Fondue 43 Day"
"3",20,2021-10-28 14:45:47,21.8,261.98,7.24,-24.7,38.31,-150.8,4,"Fondue","Fondue 43 Day"
"4",25,2021-10-28 14:59:04,14.89,255.37,7.52,-24.7,38.8,-148.3,5,"Fondue","Fondue 43 Day"
"5",29,2021-10-28 15:08:54,11.96,222.03,8.54,-26.1,42.25,-162,6,"Fondue","Fondue 43 Day"
"6",36,2021-10-28 15:18:19,6.19,290.67,7.07,-27.8,34.24,-159.8,7,"Fondue","Fondue 43 Day"
"7",40,2021-10-28 15:24:44,8.84,247.56,7.54,-32.8,42.95,-155.8,8,"Fondue","Fondue 43 Day"
"8",43,2021-10-28 15:29:54,2.32,207.12,9.45,-38.2,48.01,-160.9,9,"Fondue","Fondue 43 Day"
"9",47,2021-10-28 15:37:22,25.12,407.58,5.33,-42.5,25.79,-164.1,10,"Fondue","Fondue 43 Day"
"10",51,2021-10-28 15:43:38,10.41,231.34,8.42,-43.8,43.63,-161.6,11,"Fondue","Fondue 43 Day"
"11",55,2021-10-28 15:55:34,17.9,383.08,4.93,-46.1,27.84,-166.3,13,"Fondue","Fondue 43 Day"
"12",NA,2021-10-28 15:51:01,13.93,1083.5,1.76,-48.9,8.96,-165.6,12,"Fondue","Fondue 43 Day"
