"","Flask","H2O_out","SWISS","test"
"1",16,650,"Rosti","Long Dry Air"
"2",15,290,"Rosti","Long Dry Air"
"3",14,272,"Rosti","Long Dry Air"
"4",13,260,"Rosti","Long Dry Air"
"5",12,290,"Rosti","Long Dry Air"
"6",11,1600,"Rosti","Long Dry Air"
"7",10,810,"Rosti","Long Dry Air"
"8",9,800,"Rosti","Long Dry Air"
"9",8,290,"Rosti","Long Dry Air"
"10",7,270,"Rosti","Long Dry Air"
"11",6,365,"Rosti","Long Dry Air"
"12",5,355,"Rosti","Long Dry Air"
"13",4,320,"Rosti","Long Dry Air"
"14",3,515,"Rosti","Long Dry Air"
"15",2,420,"Rosti","Long Dry Air"
