"","start_time","SDH2O_out","H2O_out","SD_18O_out","d18O_out","SD_2H_out","d2H_out","Flask","SWISS","test"
"1",2021-07-05 14:04:41,57.03,2122.71,1.78,-42.2,9.34,-188.6,2,"Toblerone","Long Dry Air"
"2",2021-07-05 14:18:01,422.26,2534.53,2.73,-38.4,11.54,-181.7,3,"Toblerone","Long Dry Air"
"3",2021-07-05 14:33:54,452.22,1727.68,3.26,-37.3,14.48,-193,4,"Toblerone","Long Dry Air"
"4",2021-07-05 14:38:54,13.08,553.97,3.65,-29.4,18.41,-161,5,"Toblerone","Long Dry Air"
"5",2021-07-05 14:44:11,438.13,1980.99,2.24,-39.3,5.88,-161.5,6,"Toblerone","Long Dry Air"
"6",2021-07-05 14:49:05,74.86,500.12,3.64,-29.9,20.99,-154.4,7,"Toblerone","Long Dry Air"
"7",2021-07-05 14:54:39,459.53,2206.86,2.17,-39.3,5.71,-158.1,8,"Toblerone","Long Dry Air"
"8",2021-07-05 16:09:43,401.22,1189.48,2.69,-37.7,18.77,-210,9,"Toblerone","Long Dry Air"
"9",2021-07-05 16:14:52,413.11,1211.78,2.83,-37,11.34,-166.1,10,"Toblerone","Long Dry Air"
"10",2021-07-05 16:19:40,457.73,1509.21,2.75,-33.9,8.27,-159.8,11,"Toblerone","Long Dry Air"
"11",2021-07-05 16:24:43,17.11,482.65,3.79,-26.6,18.6,-155.1,12,"Toblerone","Long Dry Air"
"12",2021-07-05 16:39:45,10.84,623.45,5.19,-31.1,23.01,-209.1,13,"Toblerone","Long Dry Air"
"13",2021-07-05 16:46:50,7.68,409.7,4.67,-20,21.68,-146.6,14,"Toblerone","Long Dry Air"
"14",2021-07-05 16:54:07,7.09,327.68,5.23,-23.6,31.44,-137.7,15,"Toblerone","Long Dry Air"
"15",2021-07-05 17:01:56,9.39,422.57,4.07,-28.8,22.25,-140.7,16,"Toblerone","Long Dry Air"
