"","start_time.x","SDH2O_out.x","H2O_out.x","SD_18O_out.x","d18O_out.x","SD_2H_out.x","d2H_out.x","Flask","date","datatype","batch","start_time.y","SDH2O_out.y","H2O_out.y","SD_18O_out.y","d18O_out.y","SD_2H_out.y","d2H_out.y","H2O_diff","d18O_diff","d2H_diff","Session","SWISS"
"1",2021-03-07 13:33:01,177.22,21227.24,0.25,0.3,0.65,0.8,2,30721,"VaporIn",3,2021-03-21 10:40:42,121.8,20012.65,0.23,0.6,2.42,-9.3,-1214.59,0.3,-10.1,"March2021","Fondue"
"2",2021-03-07 13:47:01,169.04,20242.07,0.21,0.3,0.6,0.8,3,30721,"VaporIn",7,2021-03-21 10:45:42,14.58,18443.15,0.21,1.6,0.65,-10.6,-1798.92,1.3,-11.4,"March2021","Fondue"
"3",2021-03-07 14:34:01,352.48,16759.68,0.21,0.3,0.72,-0.3,4,30721,"VaporIn",11,2021-03-21 10:50:42,12.88,16109.24,0.21,0,0.66,-4.8,-650.44,-0.3,-4.5,"March2021","Fondue"
"4",2021-03-07 15:11:01,343.88,21845.57,0.2,0.3,0.57,1.4,5,30721,"VaporIn",15,2021-03-21 10:55:43,35.01,18297.29,0.22,0.3,0.69,-2.8,-3548.28,0,-4.2,"March2021","Fondue"
"5",2021-03-07 15:11:01,343.88,21845.57,0.2,0.3,0.57,1.4,6,30721,"VaporIn",19,2021-03-21 11:00:43,45.26,7249.31,0.33,-5.3,2.05,-32.5,-14596.26,-5.6,-33.9,"March2021","Fondue"
"6",2021-03-07 15:37:01,449.6,19561.9,0.2,0.3,0.63,1,7,30721,"VaporIn",24,2021-03-21 11:05:44,3.11,5992.43,0.47,-13.6,2.95,-77,-13569.47,-13.9,-78,"March2021","Fondue"
"7",2021-03-07 16:40:01,242.17,22299.43,0.2,0.5,0.55,1.7,8,30721,"VaporIn",28,2021-03-21 11:10:43,63.24,18814.84,0.22,2.4,0.93,-13,-3484.59,1.9,-14.7,"March2021","Fondue"
"8",2021-03-07 16:55:01,465.69,21505.66,0.2,0.4,0.59,1.5,9,30721,"VaporIn",32,2021-03-21 11:15:44,45.24,20713.64,0.21,0.2,0.62,-1.9,-792.02,-0.2,-3.4,"March2021","Fondue"
"9",2021-03-07 17:13:01,266.55,20599.42,0.21,0.4,0.59,1.3,10,30721,"VaporIn",36,2021-03-21 11:20:44,18.83,19470.1,0.19,0.3,0.58,-3.3,-1129.32,-0.1,-4.6,"March2021","Fondue"
"10",2021-03-07 17:31:31,215.17,19101.21,0.21,0.4,0.63,1,11,30721,"VaporIn",40,2021-03-21 11:25:44,7.95,17985.15,0.19,0.7,0.62,-5.8,-1116.06,0.3,-6.8,"March2021","Fondue"
"11",2021-03-07 17:49:31,472,18895.76,0.21,0.4,0.66,0.9,12,30721,"VaporIn",44,2021-03-21 11:30:45,29.99,18670.37,0.2,0.9,0.65,-4.2,-225.389999999999,0.5,-5.1,"March2021","Fondue"
"12",2021-03-07 18:07:01,332.84,18576.47,0.21,0.4,0.61,0.7,13,30721,"VaporIn",48,2021-03-21 11:35:45,22.58,18264.18,0.2,0.4,0.67,-3.3,-312.290000000001,0,-4,"March2021","Fondue"
"13",2021-03-07 18:35:01,142.5,22673.42,0.2,0.5,0.57,1.7,14,30721,"VaporIn",52,2021-03-21 11:40:46,48.09,21745.03,0.21,0.9,0.59,-1.6,-928.389999999999,0.4,-3.3,"March2021","Fondue"
"14",2021-03-07 18:52:31,213.75,21714.9,0.21,0.5,0.54,1.6,15,30721,"VaporIn",56,2021-03-21 11:45:46,23.14,20608.73,0.21,0.8,0.56,-2.5,-1106.17,0.3,-4.1,"March2021","Fondue"
"15",2021-03-07 19:12:31,126.26,20845.36,0.2,0.4,0.57,1.3,16,30721,"VaporIn",59,2021-03-21 11:50:46,25.11,19796.19,0.21,0.7,0.61,-3.4,-1049.17,0.3,-4.7,"March2021","Fondue"
