"","H2O_Batch.x","start_time.x","SDH2O_out.x","H2O_out.x","SD_18O_out.x","d18O_out.x","SD_2H_out.x","d2H_out.x","Flask","d18O_corr.x","d2H_corr.x","H2O_Batch.y","start_time.y","SDH2O_out.y","H2O_out.y","SD_18O_out.y","d18O_out.y","SD_2H_out.y","d2H_out.y","d18O_corr.y","d2H_corr.y","d18O_diff","d2H_diff","Session","SWISS"
"1",41,2022-03-20 10:11:38,124.86,36142.78,0.19,-40.7,0.49,-259.2,1,-41.3,-253.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March2022","Lindt"
"2",72,2022-03-20 10:27:42,82.83,33306.25,0.18,-41.5,0.41,-264.2,2,-42.1,-258.1,NA,2022-04-03 18:48:01,2222.29,30043.76,0.19,-35.9,0.49,-232,-36.3,-227,5.8,32.2,"March2022","Lindt"
"3",160,2022-03-20 10:44:00,187.51,33807.77,0.19,-41.2,0.42,-262.1,3,-41.8,-256.1,NA,2022-04-03 18:30:01,1044.2,27791,0.16,-37,0.45,-235.6,-37.4,-230.5,4.4,26.5,"March2022","Lindt"
"4",241,2022-03-20 11:00:17,111.09,34983.71,0.18,-40.8,0.39,-259.4,4,-41.4,-253.5,600,2022-04-03 17:40:15,28.55,37760.6,0.18,-39.4,0.45,-252.6,-39.7,-246.7,1.7,6.79999999999998,"March2022","Lindt"
"5",286,2022-03-20 11:16:31,158.37,34954.04,0.17,-40.8,0.44,-259.4,5,-41.4,-253.5,553,2022-04-03 17:22:52,56.04,36743.5,0.17,-39.4,0.38,-254.1,-39.7,-248.1,1.7,5.29999999999998,"March2022","Lindt"
"6",382,2022-03-20 11:32:47,79.88,35489.72,0.19,-40.7,0.4,-258.5,6,-41.3,-252.6,506,2022-04-03 17:05:23,36.15,35438.29,0.17,-40.3,0.38,-257.6,-40.6,-251.5,0.699999999999996,0.899999999999977,"March2022","Lindt"
"7",442,2022-03-20 11:49:03,78.17,35399.81,0.19,-40.6,0.44,-258.6,7,-41.2,-252.7,460,2022-04-03 16:48:00,49.22,35518.31,0.19,-40.2,0.38,-257.2,-40.5,-251.1,0.700000000000003,1.40000000000003,"March2022","Lindt"
"8",530,2022-03-20 12:05:20,131.91,34910.04,0.19,-40.8,0.38,-259.4,8,-41.4,-253.5,413,2022-04-03 16:30:33,47.33,36153.29,0.19,-40,0.41,-256,-40.3,-250,1.1,3.39999999999998,"March2022","Lindt"
"9",612,2022-03-20 12:21:37,129,34881.01,0.19,-40.8,0.42,-259.4,9,-41.4,-253.5,368,2022-04-03 16:13:10,74.55,36259.01,0.18,-40,0.39,-255.9,-40.3,-249.9,1.1,3.49999999999997,"March2022","Lindt"
"10",670,2022-03-20 12:37:52,88.86,35220.57,0.18,-40.7,0.4,-258.6,10,-41.3,-252.7,321,2022-04-03 15:55:47,35.74,34804.73,0.18,-40.1,0.45,-257.4,-40.4,-251.3,0.899999999999999,1.20000000000005,"March2022","Lindt"
"11",734,2022-03-20 12:54:12,49.19,35270.74,0.2,-40.6,0.38,-258.6,11,-41.2,-252.7,273,2022-04-03 15:38:19,29.22,34902.21,0.18,-40.1,0.44,-257.5,-40.4,-251.4,0.800000000000004,1.10000000000002,"March2022","Lindt"
"12",776,2022-03-20 13:10:24,54.14,35216.25,0.19,-40.7,0.38,-258.5,12,-41.3,-252.6,228,2022-04-03 15:20:54,17.81,34385.2,0.17,-39.6,0.41,-256.6,-39.9,-250.5,1.4,1.89999999999998,"March2022","Lindt"
"13",841,2022-03-20 13:26:42,118.93,34969.69,0.19,-40.7,0.39,-258.7,13,-41.3,-252.8,NA,2022-04-03 15:02:01,71.53,34947.16,0.19,-40.3,0.41,-257.7,-40.6,-251.6,0.699999999999996,1,"March2022","Lindt"
"14",893,2022-03-20 13:43:02,144.21,34792.87,0.19,-40.8,0.4,-259.1,14,-41.4,-253.2,142,2022-04-03 14:46:07,70.59,35734.23,0.2,-39.7,0.41,-255.7,-40,-249.7,1.4,3.40000000000003,"March2022","Lindt"
"15",930,2022-03-20 13:59:14,129.74,34867.65,0.18,-40.8,0.41,-258.9,15,-41.4,-253,93,2022-04-03 14:28:39,43.2,35121.14,0.19,-38.9,0.41,-254.4,-39.3,-248.4,2.1,4.49999999999997,"March2022","Lindt"
"16",981,2022-03-20 14:18:40,27.13,35314.29,0.2,-40.6,0.38,-258.6,16,-41.2,-252.7,46,2022-04-03 14:11:20,41.92,34933.34,0.2,-40.2,0.36,-257.4,-40.5,-251.3,0.700000000000003,1.20000000000005,"March2022","Lindt"
