"","H2O_Batch.x","start_time.x","SDH2O_out.x","H2O_out.x","SD_18O_out.x","d18O_out.x","SD_2H_out.x","d2H_out.x","Flask","H2O_Batch.y","start_time.y","SDH2O_out.y","H2O_out.y","SD_18O_out.y","d18O_out.y","SD_2H_out.y","d2H_out.y","d18O_diff","d2H_diff","d18O_offset","d2H_offset","Session","SWISS"
"1",0,2022-08-17 23:22:19,8.43,27927.49,0.2,-30,0.52,-198.5,2,88,2022-08-31 11:15:52,694.36,23061.3,0.22,-29.2,0.55,-196.1,0.800000000000001,2.40000000000001,-0.199999999999999,-0.199999999999994,"August2022","Toblerone"
"2",16,2022-08-17 23:52:16,21.62,27636.31,0.2,-30.1,0.5,-199,3,32,2022-08-31 10:46:11,609.57,24465.72,0.22,-27.7,0.62,-190.4,2.4,8.59999999999999,1.4,6,"August2022","Toblerone"
"3",31,2022-08-18 00:22:14,8.04,27609.59,0.2,-30,0.56,-198.8,4,431,2022-08-30 15:01:20,688.09,23207.93,0.19,-28.7,0.57,-194.7,1.3,4.10000000000002,0.300000000000001,1.50000000000002,"August2022","Toblerone"
"4",43,2022-08-18 00:52:24,9.45,27517.46,0.2,-30,0.49,-198.6,5,393,2022-08-30 14:43:35,681.59,23132.19,0.21,-29.4,0.54,-196.6,0.600000000000001,2,-0.399999999999999,-0.6,"August2022","Toblerone"
"5",45,2022-08-18 01:22:12,15.87,27379.82,0.21,-30.1,0.51,-199,6,367,2022-08-30 14:14:01,656.95,23368.09,0.2,-28.2,0.56,-193.3,1.9,5.69999999999999,0.900000000000002,3.09999999999999,"August2022","Toblerone"
"6",55,2022-08-18 01:52:26,10.99,27379.32,0.2,-30.1,0.53,-198.8,7,323,2022-08-30 13:52:19,719.61,23086.69,0.21,-29.2,0.54,-196.6,0.900000000000002,2.20000000000002,-0.0999999999999979,-0.399999999999983,"August2022","Toblerone"
"7",73,2022-08-18 02:22:29,115.08,27280.4,0.21,-30.1,0.51,-198.9,8,292,2022-08-30 13:32:06,562.42,23387.52,0.28,-27.8,0.57,-193.8,2.3,5.09999999999999,1.3,2.49999999999999,"August2022","Toblerone"
"8",88,2022-08-18 02:52:21,13.46,27123.43,0.18,-30.1,0.49,-199.1,9,249,2022-08-30 12:49:27,558.36,23719.09,0.19,-29,0.59,-194.5,1.1,4.59999999999999,0.100000000000001,1.99999999999999,"August2022","Toblerone"
"9",102,2022-08-18 03:22:19,9.59,27123.85,0.19,-30.1,0.49,-198.9,10,209,2022-08-30 12:26:50,588.76,22662.3,0.2,-29.1,0.54,-196.3,1,2.59999999999999,0,-5.77315972805081e-15,"August2022","Toblerone"
"10",115,2022-08-18 03:52:23,7.47,27059.56,0.19,-30.1,0.51,-198.9,11,176,2022-08-30 12:01:53,646.33,22401.75,0.21,-29.1,0.56,-196.6,1,2.30000000000001,0,-0.299999999999989,"August2022","Toblerone"
"11",130,2022-08-18 04:22:20,17.91,26934.3,0.21,-30.1,0.52,-199.1,12,142,2022-08-30 11:37:18,620.08,23619.65,0.22,-28.9,0.59,-194.1,1.2,5,0.200000000000003,2.4,"August2022","Toblerone"
"12",152,2022-08-18 04:52:28,13.94,26824.6,0.2,-30.1,0.53,-199.1,13,112,2022-08-30 11:07:09,652.61,24190.94,0.23,-28.7,0.57,-193.5,1.4,5.59999999999999,0.400000000000002,2.99999999999999,"August2022","Toblerone"
"13",181,2022-08-18 05:22:26,10.04,26782.55,0.2,-30.1,0.5,-199,14,87,2022-08-30 10:35:43,619.64,24286.54,0.29,-28.4,0.65,-194.1,1.7,4.90000000000001,0.700000000000003,2.30000000000001,"August2022","Toblerone"
"14",203,2022-08-18 05:52:25,7.63,26820.14,0.2,-30.1,0.52,-199,15,61,2022-08-30 10:13:24,553.46,23263.09,0.23,-29.1,0.58,-196.6,1,2.40000000000001,0,-0.199999999999994,"August2022","Toblerone"
"15",218,2022-08-18 06:25:44,7.85,26775.6,0.18,-30.1,0.54,-199.1,16,34,2022-08-30 09:53:52,572.41,22857.04,0.2,-29.3,0.52,-196.1,0.800000000000001,3,-0.199999999999999,0.4,"August2022","Toblerone"
